id,model,feature,quality_gate,rouge_l,judge_overall,groundedness
q1,gpt-4o-mini,triage_advisor,FAIL,0.1356,4.6,4
q1,gpt-4o,triage_advisor,FAIL,0.1296,4.6,4
q2,gpt-4o-mini,epidemic_alerts,FAIL,0.1667,3.8,3
q2,gpt-4o,epidemic_alerts,FAIL,0.1364,3.5,3
q3,gpt-4o-mini,clinical_summaries,FAIL,0.1163,3.3,3
q3,gpt-4o,clinical_summaries,FAIL,0.234,4.2,4
q4,gpt-4o-mini,triage_advisor,FAIL,0.2041,4.2,4
q4,gpt-4o,triage_advisor,FAIL,0.1538,5.0,5
q5,gpt-4o-mini,epidemic_alerts,FAIL,0.119,4.0,4
q5,gpt-4o,epidemic_alerts,FAIL,0.1667,4.6,4
q6,gpt-4o-mini,triage_advisor,FAIL,0.1728,5.0,5
q6,gpt-4o,triage_advisor,FAIL,0.1846,5.0,5
q7,gpt-4o-mini,epidemic_alerts,FAIL,0.1176,3.0,2
q7,gpt-4o,epidemic_alerts,FAIL,0.1064,3.3,2
q8,gpt-4o-mini,clinical_summaries,FAIL,0.241,4.0,3
q8,gpt-4o,clinical_summaries,FAIL,0.2778,3.3,3
q9,gpt-4o-mini,triage_advisor,FAIL,0.075,5.0,5
q9,gpt-4o,triage_advisor,FAIL,0.2727,5.0,5
q10,gpt-4o-mini,clinical_summaries,FAIL,0.2381,4.0,3
q10,gpt-4o,clinical_summaries,FAIL,0.2424,2.3,2
q11,gpt-4o-mini,triage_advisor,FAIL,0.0759,5.0,5
q11,gpt-4o,triage_advisor,FAIL,0.127,5.0,5
q12,gpt-4o-mini,epidemic_alerts,FAIL,0.1077,4.3,4
q12,gpt-4o,epidemic_alerts,FAIL,0.1149,4.3,4
q13,gpt-4o-mini,clinical_summaries,FAIL,0.0721,2.8,2
q13,gpt-4o,clinical_summaries,FAIL,0.1739,3.3,3
q14,gpt-4o-mini,epidemic_alerts,FAIL,0.1573,3.3,3
q14,gpt-4o,epidemic_alerts,FAIL,0.1758,3.3,3
q15,gpt-4o-mini,clinical_summaries,FAIL,0.1333,3.0,2
q15,gpt-4o,clinical_summaries,FAIL,0.1905,3.0,2
