question,input_length,rouge_l,latency_ms,token_count
I need to restructure an emergency chronic care plan.,14,0.2964,1015.0,301
What documents do I need for a standard clinical lab screening?,6,0.1918,910.0,352
Can I book an inpatient clinical appointment online?,8,0.3305,910.0,154
Has the new MoH policy changed our clinical referral rules?,12,0.271,1118.0,175
Has the new MoH policy changed our clinical referral rules?,14,0.3538,1068.0,404
Can I book an inpatient clinical appointment online?,5,0.1709,1014.0,267
Has the new MoH policy changed our clinical referral rules?,9,0.2408,1084.0,330
How long does it take to process outpatient laboratory results?,10,0.2865,1022.0,247
Has the new MoH policy changed our clinical referral rules?,10,0.3265,969.0,278
I need to restructure an emergency chronic care plan.,13,0.2941,1102.0,220
I need to restructure an emergency chronic care plan.,11,0.314,1214.0,199
I need to restructure an emergency chronic care plan.,9,0.2633,1143.0,170
Can I book an inpatient clinical appointment online?,4,0.3065,1096.0,375
What documents do I need for a standard clinical lab screening?,10,0.2923,874.0,446
Can I book an inpatient clinical appointment online?,6,0.3056,1119.0,217
What documents do I need for a standard clinical lab screening?,7,0.3759,996.0,301
Can I book an inpatient clinical appointment online?,10,0.3256,1022.0,362
How long does it take to process outpatient laboratory results?,15,0.2284,1210.0,252
How long does it take to process outpatient laboratory results?,13,0.2598,1267.0,426
Can I book an inpatient clinical appointment online?,7,0.3173,1131.0,421
Has the new MoH policy changed our clinical referral rules?,9,0.3486,1195.0,289
How long does it take to process outpatient laboratory results?,4,0.3783,901.0,281
My infant has a sudden rash and high fever - what are my triage options?,18,0.3676,969.0,301
I need to restructure an emergency chronic care plan.,7,0.2337,1074.0,323
What documents do I need for a standard clinical lab screening?,10,0.3468,1257.0,389
What documents do I need for a standard clinical lab screening?,15,0.2663,1075.0,222
How long does it take to process outpatient laboratory results?,4,0.2516,1216.0,353
Has the new MoH policy changed our clinical referral rules?,14,0.2259,1029.0,337
What documents do I need for a standard clinical lab screening?,10,0.3168,1003.0,352
What documents do I need for a standard clinical lab screening?,12,0.2716,1098.0,285
Has the new MoH policy changed our clinical referral rules?,11,0.3004,1048.0,213
My infant has a sudden rash and high fever - what are my triage options?,14,0.2947,1056.0,338
I need to restructure an emergency chronic care plan.,8,0.3959,1167.0,284
Has the new MoH policy changed our clinical referral rules?,9,0.3418,1060.0,345
I need to restructure an emergency chronic care plan.,12,0.3222,1087.0,340
What documents do I need for a standard clinical lab screening?,12,0.2057,965.0,269
