question,input_length,rouge_l,latency_ms,token_count
Can I book an inpatient clinical appointment online?,8,0.4117,878.0,207
What documents do I need for a standard clinical lab screening?,14,0.406,772.0,290
What documents do I need for a standard clinical lab screening?,14,0.466,744.0,264
What documents do I need for a standard clinical lab screening?,12,0.3922,744.0,202
Can I book an inpatient clinical appointment online?,8,0.3052,593.0,429
What documents do I need for a standard clinical lab screening?,9,0.3592,838.0,366
What documents do I need for a standard clinical lab screening?,9,0.3353,976.0,165
What documents do I need for a standard clinical lab screening?,10,0.4241,629.0,261
What documents do I need for a standard clinical lab screening?,9,0.4267,662.0,408
Can I book an inpatient clinical appointment online?,8,0.384,765.0,163
Can I book an inpatient clinical appointment online?,6,0.5311,798.0,251
Can I book an inpatient clinical appointment online?,5,0.4694,653.0,429
How long does it take to process outpatient laboratory results?,10,0.3024,641.0,262
How long does it take to process outpatient laboratory results?,10,0.4643,821.0,292
What documents do I need for a standard clinical lab screening?,10,0.4019,623.0,231
Can I book an inpatient clinical appointment online?,6,0.3924,927.0,366
How long does it take to process outpatient laboratory results?,10,0.3142,839.0,292
What documents do I need for a standard clinical lab screening?,10,0.3794,873.0,260
How long does it take to process outpatient laboratory results?,12,0.4759,699.0,202
What documents do I need for a standard clinical lab screening?,10,0.4399,917.0,344
What documents do I need for a standard clinical lab screening?,10,0.4089,667.0,333
How long does it take to process outpatient laboratory results?,7,0.4688,963.0,285
What documents do I need for a standard clinical lab screening?,10,0.4802,843.0,385
Can I book an inpatient clinical appointment online?,6,0.4417,985.0,213
How long does it take to process outpatient laboratory results?,9,0.5139,486.0,190
Can I book an inpatient clinical appointment online?,9,0.4252,764.0,300
Can I book an inpatient clinical appointment online?,8,0.3007,774.0,335
Can I book an inpatient clinical appointment online?,8,0.5087,738.0,248
Can I book an inpatient clinical appointment online?,6,0.3899,910.0,185
What documents do I need for a standard clinical lab screening?,11,0.3882,862.0,266
How long does it take to process outpatient laboratory results?,10,0.4781,716.0,190
What documents do I need for a standard clinical lab screening?,10,0.3965,624.0,201
