id,channel,feature,model,question,reference,hypothesis,bleu_4,rouge_1,rouge_2,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,judge_overall,reasoning,quality_gate
q1,USSD,triage_advisor,gpt-4o-mini,My child has fever and is very sleepy. When should I escalate?,"Pediatric fever requires immediate escalation if the child is under three months old, temperature exceeds 39 degrees Celsius, the child is lethargic, or breathing is labored.","If your child has a fever and is very sleepy, you should seek medical attention immediately if they are less than 3 months old, have a fever over 38°C (100.4°F), or if the sleepiness is accompanied by difficulty waking, persistent vomiting, difficulty breathing, a rash, or seizures. Additionally, if the fever lasts more than 48 hours or if your child shows signs of dehydration (such as dry mouth, no tears when crying, or decreased urination), you should escalate care. Always err on the side of caution with young children.",0.0151,0.2373,0.0345,0.1356,0.2087,4,4,5,5,4.6,"The AI response correctly advises seeking medical attention for a child with fever and sleepiness, especially if they are under 3 months old or exhibit additional concerning symptoms. However, it slightly deviates from the reference by mentioning a fever threshold of 38°C instead of 39°C. The response is relevant and provides helpful guidance on when to escalate care, including additional symptoms to watch for.",FAIL
q1,USSD,triage_advisor,gpt-4o,My child has fever and is very sleepy. When should I escalate?,"Pediatric fever requires immediate escalation if the child is under three months old, temperature exceeds 39 degrees Celsius, the child is lethargic, or breathing is labored.","If your child has a fever and is excessively sleepy or difficult to wake, it is important to seek medical attention immediately. These symptoms could indicate a serious condition that requires prompt evaluation by a healthcare professional. Additionally, if the fever is high (above 38.5°C or 101.3°F) and does not respond to medication, or if your child shows other concerning symptoms such as difficulty breathing, rash, or persistent vomiting, escalate to a healthcare facility as soon as possible.",0.0085,0.2407,0.0189,0.1296,0.2115,4,4,5,5,4.6,"The AI response correctly advises seeking medical attention for a child with fever and excessive sleepiness, aligning with the reference's emphasis on lethargy as a critical symptom. However, the temperature threshold mentioned (38.5°C) is slightly lower than the reference (39°C), which could lead to unnecessary escalation. The response is relevant and provides helpful guidance on when to seek further medical evaluation.",FAIL
q2,USSD,epidemic_alerts,gpt-4o-mini,Are there cholera alerts in Nairobi this week?,"Check the AfyaPlus epidemic bulletin for Nairobi County. If active cholera alerts exist, advise safe water use, hand hygiene, and referral to the nearest health facility for dehydration.","As of my last update in October 2023, I do not have real-time data on current cholera alerts. However, it is important to stay informed through local health authorities or the Ministry of Health in Kenya for the latest updates. If you experience symptoms such as severe diarrhea, vomiting, or dehydration, seek medical attention immediately.",0.0118,0.2143,0.0244,0.1667,0.2169,4,3,4,4,3.8,"The AI response correctly advises checking with local health authorities for real-time updates, which is relevant and helpful. However, it lacks specific guidance on safe water use and hand hygiene, which are important preventive measures during a cholera outbreak. The response is grounded in general health advice but could be improved by referencing specific local resources or bulletins like the AfyaPlus epidemic bulletin.",FAIL
q2,USSD,epidemic_alerts,gpt-4o,Are there cholera alerts in Nairobi this week?,"Check the AfyaPlus epidemic bulletin for Nairobi County. If active cholera alerts exist, advise safe water use, hand hygiene, and referral to the nearest health facility for dehydration.","As of my last update in October 2023, I do not have real-time data access to provide current cholera alerts. I recommend checking with local health authorities or the Ministry of Health in Kenya for the most recent updates on cholera alerts in Nairobi. Additionally, you can monitor local news outlets or official social media channels for any announcements.",0.0096,0.2273,0.0233,0.1364,0.2069,4,3,4,3,3.5,"The AI correctly advises checking with local health authorities for current cholera alerts, which is relevant and partially helpful. However, it does not reference the AfyaPlus epidemic bulletin as suggested in the reference, which affects groundedness and helpfulness. Including advice on safe water use and hygiene would have improved the response's helpfulness.",FAIL
q3,USSD,clinical_summaries,gpt-4o-mini,Summarize outpatient lab result turnaround time.,Standard outpatient laboratory results are typically available within 24 to 48 hours. Urgent tests may be expedited within 6 hours at designated hub laboratories.,"Outpatient lab result turnaround time typically varies depending on the type of test conducted. Generally, routine tests may take 1-3 days for results, while specialized tests can take longer, sometimes up to a week or more. It's important to check with the specific lab for their expected timelines and to follow up with your healthcare provider for interpretation of results.",0.0081,0.1395,0.0238,0.1163,0.1429,3,3,4,3,3.3,"The AI response provides a general overview of lab result turnaround times but does not align precisely with the reference, which states 24 to 48 hours for standard tests and 6 hours for urgent ones. The AI's mention of 1-3 days and up to a week for specialized tests is less specific and not fully grounded in the provided reference. The response is relevant and somewhat helpful but lacks precise alignment with the reference information.",FAIL
q3,USSD,clinical_summaries,gpt-4o,Summarize outpatient lab result turnaround time.,Standard outpatient laboratory results are typically available within 24 to 48 hours. Urgent tests may be expedited within 6 hours at designated hub laboratories.,"Outpatient lab result turnaround times can vary depending on the type of test conducted. Routine blood tests, such as complete blood counts or basic metabolic panels, typically have results available within 24 to 48 hours. More specialized tests, like cultures or certain hormone assays, may take several days to a week. It's important for patients to confirm specific timelines with their healthcare provider or the lab conducting the tests.",0.0822,0.234,0.1087,0.234,0.2366,4,4,5,4,4.2,"The AI response correctly mentions the typical turnaround time for routine tests as 24 to 48 hours, aligning with the reference. However, it introduces additional information about specialized tests taking longer, which is not directly supported by the reference. The response is relevant and helpful for understanding general lab result timelines, but could be more precise by focusing solely on the provided reference details.",FAIL
q4,USSD,triage_advisor,gpt-4o-mini,Patient has diarrhea for 3 days. Refer now or wait?,"Monitor for up to 48 hours in mild adult cases. Refer immediately if dehydration, blood in stool, high fever, or symptoms persist beyond 48 hours.","If the patient has diarrhea for 3 days, it is important to assess for additional symptoms such as dehydration, fever, or blood in the stool. If they are experiencing any of these symptoms, or if they are very young, elderly, or have underlying health conditions, refer them for medical evaluation immediately. Otherwise, encourage them to stay hydrated and monitor their symptoms, but if diarrhea persists beyond 5 days, they should seek medical attention.",0.0197,0.3061,0.0625,0.2041,0.2857,4,4,5,4,4.2,"The AI response correctly advises referral if there are additional concerning symptoms, aligning with the reference. However, it suggests waiting up to 5 days instead of the 48 hours mentioned in the reference, which slightly affects correctness and groundedness. The response is relevant and provides helpful guidance on monitoring symptoms and when to seek medical attention.",FAIL
q4,USSD,triage_advisor,gpt-4o,Patient has diarrhea for 3 days. Refer now or wait?,"Monitor for up to 48 hours in mild adult cases. Refer immediately if dehydration, blood in stool, high fever, or symptoms persist beyond 48 hours.","If the patient has had diarrhea for 3 days, it is important to assess for signs of dehydration, such as dry mouth, decreased urination, dizziness, or lethargy. If any of these symptoms are present, or if the diarrhea is severe, contains blood, or is accompanied by a high fever, refer the patient to a healthcare provider immediately. If the patient is otherwise stable, encourage oral rehydration solutions and monitor closely, but seek medical advice if symptoms persist or worsen.",0.0189,0.25,0.0588,0.1538,0.25,5,5,5,5,5.0,"The AI response accurately reflects the reference guidelines by advising immediate referral if there are signs of dehydration, blood in stool, high fever, or persistent symptoms beyond 48 hours. It also provides practical advice on monitoring and rehydration, making it highly relevant and helpful for the situation described.",FAIL
q5,USSD,epidemic_alerts,gpt-4o-mini,What symptoms trigger a malaria outbreak notification?,"Clustered fever cases with headache, chills, and fatigue in endemic zones should trigger outbreak notification when case counts exceed the local baseline threshold.","Symptoms that trigger a malaria outbreak notification include high fever, chills, sweating, headache, nausea, vomiting, and body aches. If multiple cases of these symptoms are reported in a community, especially during peak malaria transmission seasons, it is crucial to notify health authorities for further investigation and response. Prompt diagnosis and treatment are essential to control the outbreak and prevent severe complications.",0.0227,0.2381,0.0244,0.119,0.2381,4,4,4,4,4.0,"The AI response correctly identifies symptoms associated with malaria, such as fever, chills, and headache, which are relevant to triggering an outbreak notification. However, it does not explicitly mention the need for case counts to exceed the local baseline threshold, which is a critical factor in outbreak notification. The response is helpful in emphasizing the importance of notifying health authorities and the need for prompt action.",FAIL
q5,USSD,epidemic_alerts,gpt-4o,What symptoms trigger a malaria outbreak notification?,"Clustered fever cases with headache, chills, and fatigue in endemic zones should trigger outbreak notification when case counts exceed the local baseline threshold.","In Kenya, a malaria outbreak notification is typically triggered by a sudden increase in cases presenting with symptoms such as high fever, chills, headache, muscle aches, and fatigue, especially if these occur in areas not typically prone to malaria or outside the usual transmission season. Additionally, if there is a significant rise in confirmed malaria cases through diagnostic testing in a specific area, it may also prompt an outbreak notification. Health facilities should report such patterns to local health authorities for further investigation and response.",0.0222,0.2778,0.0377,0.1667,0.2407,4,4,5,5,4.6,"The AI response correctly identifies symptoms associated with malaria and the conditions under which an outbreak notification might be triggered, such as a sudden increase in cases. However, it does not explicitly mention the local baseline threshold, which is a key factor in determining an outbreak. The response is relevant and helpful as it provides a clear explanation of the process and symptoms involved.",FAIL
